date_time,amount,txn_type,balance_after
2024-01-01 09:00:00,2000,CREDIT,20000
2024-01-01 10:30:00,-800,DEBIT,19200
2024-01-01 14:20:00,-600,DEBIT,18600
2024-01-02 08:15:00,-700,DEBIT,17900
2024-01-02 15:45:00,-500,DEBIT,17400
2024-01-03 09:30:00,-650,DEBIT,16750
2024-01-03 16:20:00,-450,DEBIT,16300
2024-01-04 11:00:00,-550,DEBIT,15750
2024-01-04 18:30:00,-400,DEBIT,15350
2024-01-05 10:15:00,-600,DEBIT,14750
2024-01-05 17:45:00,-500,DEBIT,14250
2024-01-06 09:00:00,-550,DEBIT,13700
2024-01-06 16:30:00,-450,DEBIT,13250
2024-01-07 10:45:00,-500,DEBIT,12750
2024-01-07 18:00:00,-400,DEBIT,12350
