date_time,amount,txn_type,balance_after
2024-01-01 08:00:00,5000,CREDIT,15000
2024-01-02 09:30:00,-100,DEBIT,14900
2024-01-03 10:15:00,-80,DEBIT,14820
2024-01-04 11:45:00,-120,DEBIT,14700
2024-01-05 08:20:00,-90,DEBIT,14610
2024-01-06 14:30:00,-110,DEBIT,14500
2024-01-07 16:10:00,-95,DEBIT,14405
2024-01-08 09:00:00,-85,DEBIT,14320
2024-01-09 12:20:00,-105,DEBIT,14215
2024-01-10 15:45:00,-75,DEBIT,14140
2024-01-11 10:30:00,-115,DEBIT,14025
2024-01-12 13:15:00,-88,DEBIT,13937
2024-01-13 17:20:00,-92,DEBIT,13845
2024-01-14 09:40:00,-98,DEBIT,13747
2024-01-15 11:25:00,-82,DEBIT,13665
